path,kind,layer,rulePattern,capability,redirect,switch,administrador_geral,administrador_mx,consultor_mx,dono,gerente,vendedor
/,route,AUTH_LEGAL_PUBLIC,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
/login,route,AUTH_LEGAL_PUBLIC,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
/forgot-password,route,AUTH_LEGAL_PUBLIC,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
/reset-password,route,AUTH_LEGAL_PUBLIC,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
/pre-cadastro/:storeSlug,route,AUTH_LEGAL_PUBLIC,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
/privacy,route,AUTH_LEGAL_PUBLIC,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
/terms,route,AUTH_LEGAL_PUBLIC,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
/dono/*,route,STANDARD_CANVAS,/dono/*,,OwnerLegacyPathRedirect,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/,route,AUTH_LEGAL_PUBLIC,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
/settings,route,STANDARD_CANVAS,/settings,view_configurations,/configuracoes,no,DENY,DENY,DENY,DENY,DENY,DENY
/plano-estrategico,route,STANDARD_CANVAS,/plano-estrategico,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/plano-acao,route,STANDARD_CANVAS,/plano-acao,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/decisoes,route,STANDARD_CANVAS,/decisoes,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/departamentos,route,STANDARD_CANVAS,/departamentos,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/departamentos/comercial,route,STANDARD_CANVAS,/departamentos/*,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/departamentos/marketing,route,STANDARD_CANVAS,/departamentos/*,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/departamentos/produto-e-estoque,route,STANDARD_CANVAS,/departamentos/*,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/departamentos/pessoas-rh,route,STANDARD_CANVAS,/departamentos/*,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/departamentos/financeiro,route,STANDARD_CANVAS,/departamentos/*,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/departamentos/operacoes,route,STANDARD_CANVAS,/departamentos/*,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/mercado,route,STANDARD_CANVAS,/mercado,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/team,route,STANDARD_CANVAS,/team,manage_team,TeamAliasRedirect,no,DENY,DENY,DENY,DENY,DENY,DENY
/equipe,route,STANDARD_CANVAS,/equipe,manage_team,TeamAliasRedirect,no,DENY,DENY,DENY,DENY,DENY,DENY
/meu-dia,route,REDIRECT,/meu-dia,,/home,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/home,route,STANDARD_CANVAS,/home,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/minha-remuneracao,route,REDIRECT,/minha-remuneracao,,/home,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/lancamento-diario,route,REDIRECT,/lancamento-diario,,/terminal-mx,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/fechamento-diario,route,STANDARD_CANVAS,/fechamento-diario,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/terminal-mx,route,STANDARD_CANVAS,/vendedor/terminal-mx,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/terminal-mx,route,STANDARD_CANVAS,/terminal-mx,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/liberacao-fechamento,route,STANDARD_CANVAS,/liberacao-fechamento,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/carteira-clientes,route,STANDARD_CANVAS,/carteira-clientes,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/carteira,route,REDIRECT,/carteira,,/carteira-clientes,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/carteira,route,REDIRECT,/vendedor/carteira,,/carteira-clientes,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/mentor-comercial,route,REDIRECT,/mentor-comercial,,/carteira-clientes,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/mentor-comercial,route,REDIRECT,/vendedor/mentor-comercial,,/carteira-clientes,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/funil,route,REDIRECT,/funil,,/meu-funil,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/minha-meta,route,REDIRECT,/minha-meta,,/meu-funil,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/minha-meta,route,REDIRECT,/vendedor/minha-meta,,/meu-funil,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/meu-funil,route,STANDARD_CANVAS,/meu-funil,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/funil-comercial,route,STANDARD_CANVAS,/funil-comercial,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/central-execucao,route,STANDARD_CANVAS,/central-execucao,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/rotina-do-dia,route,REDIRECT,/rotina-do-dia,,/central-execucao,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/rotina-do-dia,route,REDIRECT,/vendedor/rotina-do-dia,,/central-execucao,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/central-de-execucao,route,STANDARD_CANVAS,/central-de-execucao,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/relatorios-vendedor,route,STANDARD_CANVAS,/relatorios-vendedor,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/relatorios,route,STANDARD_CANVAS,/relatorios,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/feedback,route,REDIRECT,/feedback,,/devolutivas,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/feedbacks,route,REDIRECT,/feedbacks,,/desenvolvimento?tab=feedback,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/funil,route,REDIRECT,/vendedor/funil,,/meu-funil,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/meu-funil,route,REDIRECT,/vendedor/meu-funil,,/meu-funil,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/feedback,route,REDIRECT,/vendedor/feedback,,/desenvolvimento?tab=feedback,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/devolutivas,route,REDIRECT,/vendedor/devolutivas,,/desenvolvimento?tab=feedback,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/desenvolvimento,route,REDIRECT,/vendedor/desenvolvimento,,/desenvolvimento,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/treinamentos,route,REDIRECT,/vendedor/treinamentos,,/universidade-mx,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/universidade-mx,route,REDIRECT,/vendedor/universidade-mx,,/universidade-mx,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/configuracoes,route,REDIRECT,/vendedor/configuracoes,,/configuracoes,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/funil-vendas,route,STANDARD_CANVAS,/funil-vendas,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/metas,route,STANDARD_CANVAS,/metas,,/meta-loja,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/falar-consultor,route,STANDARD_CANVAS,/falar-consultor,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/organograma,route,STANDARD_CANVAS,/organograma,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/banco-talentos,route,STANDARD_CANVAS,/banco-talentos,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/ajuda,route,STANDARD_CANVAS,/ajuda,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/ranking,route,STANDARD_CANVAS,/ranking,view_ranking,,no,DENY,DENY,DENY,DENY,DENY,DENY
/classificacao,route,STANDARD_CANVAS,/classificacao,view_ranking,,no,DENY,DENY,DENY,DENY,DENY,DENY
/universidade-mx,route,STANDARD_CANVAS,/universidade-mx,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/treinamentos,route,STANDARD_CANVAS,/treinamentos,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/desenvolvimento,route,STANDARD_CANVAS,/desenvolvimento,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/devolutivas,route,STANDARD_CANVAS,/devolutivas,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/notificacoes,route,STANDARD_CANVAS,/notificacoes,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/perfil,route,STANDARD_CANVAS,/perfil,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/meu-perfil,route,REDIRECT,/meu-perfil,,/perfil,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/meu-perfil-vendedor,route,REDIRECT,/meu-perfil-vendedor,,/perfil,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/vendedor/perfil,route,REDIRECT,/vendedor/perfil,,/perfil,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/rotina-equipe,route,STANDARD_CANVAS,/rotina-equipe,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/minha-equipe,route,STANDARD_CANVAS,/minha-equipe,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/meta-loja,route,STANDARD_CANVAS,/meta-loja,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/mentor,route,STANDARD_CANVAS,/mentor,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/feedbacks-pdis,route,STANDARD_CANVAS,/feedbacks-pdis,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/lojas/:storeSlug/consultor-ia,route,STANDARD_CANVAS,/lojas/:storeSlug/consultor-ia,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/lojas/:storeSlug/filiais,route,STANDARD_CANVAS,/lojas/:storeSlug/filiais,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/lojas/:storeSlug,route,STANDARD_CANVAS,/lojas/:storeSlug,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/lojas/:storeSlug/equipe,route,STANDARD_CANVAS,/lojas/:storeSlug/*,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/consultor-ia,route,STANDARD_CANVAS,/consultor-ia,,ConsultorIaAliasRedirect,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/pdi,route,STANDARD_CANVAS,/pdi,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/pdi/:id/print,route,PRINT,/pdi/:id/print,print_pdi,,no,DENY,DENY,DENY,DENY,DENY,DENY
/minhas-lojas,route,STANDARD_CANVAS,/minhas-lojas,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/rotina,route,STANDARD_CANVAS,/rotina,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/painel,route,STANDARD_CANVAS,/painel,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/lojas,route,STANDARD_CANVAS,/lojas,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/simulacao,route,STANDARD_CANVAS,/simulacao,simulate_role,,no,DENY,DENY,DENY,DENY,DENY,DENY
/simulacao/:simulationRole,route,STANDARD_CANVAS,/simulacao/*,simulate_role,,no,DENY,DENY,DENY,DENY,DENY,DENY
/agenda,route,STANDARD_CANVAS,/agenda,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/consultoria,route,STANDARD_CANVAS,/consultoria,,,yes,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/produtos,route,STANDARD_CANVAS,/produtos,view_products,,no,DENY,DENY,DENY,DENY,DENY,DENY
/configuracoes,route,STANDARD_CANVAS,/configuracoes,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/configuracoes/remuneracao,route,STANDARD_CANVAS,/configuracoes/remuneracao,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/configuracoes/operacional,route,STANDARD_CANVAS,/configuracoes/operacional,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/configuracoes/consultoria-pmr,route,STANDARD_CANVAS,/configuracoes/consultoria-pmr,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/configuracoes/reprocessamento,route,STANDARD_CANVAS,/configuracoes/reprocessamento,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/relatorio-matinal,route,STANDARD_CANVAS,/relatorio-matinal,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/relatorios/performance-vendas,route,STANDARD_CANVAS,/relatorios/performance-vendas,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/relatorios/performance-vendedor,route,STANDARD_CANVAS,/relatorios/performance-vendedor,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/auditoria,route,STANDARD_CANVAS,/auditoria,,,no,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW,ALLOW
/*,route,CATCHALL,,,,no,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE,NO_RULE
